번호,유니코드,십진코드,설명,도형
314,0x278F,10127,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX,➏
315,0x2790,10128,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN,➐
316,0x2791,10129,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT,➑
317,0x2792,10130,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE,➒
318,0x2793,10131,DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN,➓
319,0x2794,10132,HEAVY WIDE-HEADED RIGHTWARDS ARROW,➔
320,0x2798,10136,HEAVY SOUTH EAST ARROW,➘
321,0x2799,10137,HEAVY RIGHTWARDS ARROW,➙
322,0x279A,10138,HEAVY NORTH EAST ARROW,➚
323,0x279B,10139,DRAFTING POINT RIGHTWARDS ARROW,➛
324,0x279C,10140,HEAVY ROUND-TIPPED RIGHTWARDS ARROW,➜
325,0x279D,10141,TRIANGLE-HEADED RIGHTWARDS ARROW,➝
326,0x279E,10142,HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW,➞
327,0x279F,10143,DASHED TRIANGLE-HEADED RIGHTWARDS ARROW,➟
328,0x27A0,10144,HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW,➠
329,0x27A1,10145,BLACK RIGHTWARDS ARROW,➡
330,0x27A2,10146,THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD,➢
331,0x27A3,10147,THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD,➣
332,0x27A4,10148,BLACK RIGHTWARDS ARROWHEAD,➤
333,0x27A5,10149,HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW,➥
334,0x27A6,10150,HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW,➦
335,0x27A7,10151,SQUAT BLACK RIGHTWARDS ARROW,➧
336,0x27A8,10152,HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW,➨
